Palavras mais comuns,Frequencia Absoluta,Frequencia Relativa
imunobiológicos,4.0,0.0008405127127547804
mundial,4.0,0.0008405127127547804
china,4.0,0.0008405127127547804
ministério,4.0,0.0008405127127547804
ano,4.0,0.0008405127127547804
publicação,4.0,0.0008405127127547804
temporário,4.0,0.0008405127127547804
tempo,4.0,0.0008405127127547804
pacientes,4.0,0.0008405127127547804
necessário,4.0,0.0008405127127547804
acordo,4.0,0.0008405127127547804
proteger,4.0,0.0008405127127547804
qualquer,4.0,0.0008405127127547804
além,4.0,0.0008405127127547804
50,4.0,0.0008405127127547804
diferentes,4.0,0.0008405127127547804
desses,4.0,0.0008405127127547804
caso,4.0,0.0008405127127547804
relevantes,4.0,0.0008405127127547804
sanitário,4.0,0.0008405127127547804
número,4.0,0.0008405127127547804
feitos,4.0,0.0008405127127547804
contínua,4.0,0.0008405127127547804
sido,4.0,0.0008405127127547804
considerados,4.0,0.0008405127127547804
servidores,4.0,0.0008405127127547804
condições,4.0,0.0008405127127547804
autoridades,4.0,0.0008405127127547804
outros,4.0,0.0008405127127547804
adicionais,4.0,0.0008405127127547804
compromisso,4.0,0.0008405127127547804
andamento,4.0,0.0008405127127547804
fiscalização,4.0,0.0008405127127547804
apresentada,4.0,0.0008405127127547804
especialistas,4.0,0.0008405127127547804
pré,4.0,0.0008405127127547804
conclusões,4.0,0.0008405127127547804
técnico,4.0,0.0008405127127547804
s,4.0,0.0008405127127547804
técnica,4.0,0.0008405127127547804
aumento,4.0,0.0008405127127547804
idosos,4.0,0.0008405127127547804
objeto,4.0,0.0008405127127547804
ml,4.0,0.0008405127127547804
indicação,4.0,0.0008405127127547804
anos,4.0,0.0008405127127547804
programa,4.0,0.0008405127127547804
autoridade,4.0,0.0008405127127547804
21,4.0,0.0008405127127547804
re,4.0,0.0008405127127547804
sei,4.0,0.0008405127127547804
emitiu,4.0,0.0008405127127547804
acompanhamento,4.0,0.0008405127127547804
eventos,4.0,0.0008405127127547804
adversos,4.0,0.0008405127127547804
reunião,4.0,0.0008405127127547804
apresentações,4.0,0.0008405127127547804
introdução,3.0,0.0006303845345660853
17,3.0,0.0006303845345660853
26,3.0,0.0006303845345660853
31,3.0,0.0006303845345660853
seguindo,3.0,0.0006303845345660853
comitê,3.0,0.0006303845345660853
espii,3.0,0.0006303845345660853
portaria,3.0,0.0006303845345660853
estabelece,3.0,0.0006303845345660853
decorrente,3.0,0.0006303845345660853
atividades,3.0,0.0006303845345660853
objetivo,3.0,0.0006303845345660853
efeitos,3.0,0.0006303845345660853
dois,3.0,0.0006303845345660853
tecnologia,3.0,0.0006303845345660853
bio,3.0,0.0006303845345660853
manguinhos,3.0,0.0006303845345660853
organização,3.0,0.0006303845345660853
responsável,3.0,0.0006303845345660853
7,3.0,0.0006303845345660853
passou,3.0,0.0006303845345660853
estabelecida,3.0,0.0006303845345660853
causada,3.0,0.0006303845345660853
apresenta,3.0,0.0006303845345660853
novas,3.0,0.0006303845345660853
abordagens,3.0,0.0006303845345660853
alternativas,3.0,0.0006303845345660853
terapêuticas,3.0,0.0006303845345660853
terapêutica,3.0,0.0006303845345660853
óbitos,3.0,0.0006303845345660853
rápido,3.0,0.0006303845345660853
global,3.0,0.0006303845345660853
cientistas,3.0,0.0006303845345660853
ajudar,3.0,0.0006303845345660853
indivíduo,3.0,0.0006303845345660853
pessoas,3.0,0.0006303845345660853
formas,3.0,0.0006303845345660853
imunidade,3.0,0.0006303845345660853
natural,3.0,0.0006303845345660853
dias,3.0,0.0006303845345660853
certo,3.0,0.0006303845345660853
doenças,3.0,0.0006303845345660853
benefício,3.0,0.0006303845345660853
disponibilizadas,3.0,0.0006303845345660853
nessa,3.0,0.0006303845345660853
pois,3.0,0.0006303845345660853
disso,3.0,0.0006303845345660853
fundamental,3.0,0.0006303845345660853
garantir,3.0,0.0006303845345660853
candidatas,3.0,0.0006303845345660853
controle,3.0,0.0006303845345660853
algumas,3.0,0.0006303845345660853
conhecido,3.0,0.0006303845345660853
etapas,3.0,0.0006303845345660853
regulatório,3.0,0.0006303845345660853
instrumento,3.0,0.0006303845345660853
medida,3.0,0.0006303845345660853
adotadas,3.0,0.0006303845345660853
entretanto,3.0,0.0006303845345660853
critérios,3.0,0.0006303845345660853
passo,3.0,0.0006303845345660853
pedido,3.0,0.0006303845345660853
comercialização,3.0,0.0006303845345660853
reguladoras,3.0,0.0006303845345660853
presente,3.0,0.0006303845345660853
discussão,3.0,0.0006303845345660853
autorizações,3.0,0.0006303845345660853
temporárias,3.0,0.0006303845345660853
08,3.0,0.0006303845345660853
dia,3.0,0.0006303845345660853
avaliações,3.0,0.0006303845345660853
técnicos,3.0,0.0006303845345660853
i,3.0,0.0006303845345660853
ii,3.0,0.0006303845345660853
12,3.0,0.0006303845345660853
farmacêutica,3.0,0.0006303845345660853
pic,3.0,0.0006303845345660853
internacionais,3.0,0.0006303845345660853
concessão,3.0,0.0006303845345660853
inativado,3.0,0.0006303845345660853
desenvolvida,3.0,0.0006303845345660853
clínicas,3.0,0.0006303845345660853
oficialmente,3.0,0.0006303845345660853
governo,3.0,0.0006303845345660853
milhões,3.0,0.0006303845345660853
testes,3.0,0.0006303845345660853
autorizada,3.0,0.0006303845345660853
importação,3.0,0.0006303845345660853
azd1222,3.0,0.0006303845345660853
outro,3.0,0.0006303845345660853
desta,3.0,0.0006303845345660853
índia,3.0,0.0006303845345660853
dose,3.0,0.0006303845345660853
ativa,3.0,0.0006303845345660853
terminado,3.0,0.0006303845345660853
in,3.0,0.0006303845345660853
emitido,3.0,0.0006303845345660853
cumprimento,3.0,0.0006303845345660853
instalações,3.0,0.0006303845345660853
certificado,3.0,0.0006303845345660853
dire4,3.0,0.0006303845345660853
29,3.0,0.0006303845345660853
tendo,3.0,0.0006303845345660853
informa,3.0,0.0006303845345660853
obtidos,3.0,0.0006303845345660853
segunda,3.0,0.0006303845345660853
duração,3.0,0.0006303845345660853
situação,3.0,0.0006303845345660853
dire2,3.0,0.0006303845345660853
condicionada,3.0,0.0006303845345660853
63,3.0,0.0006303845345660853
monitorar,3.0,0.0006303845345660853
âmbito,3.0,0.0006303845345660853
terceira,3.0,0.0006303845345660853
versão,3.0,0.0006303845345660853
diretor,3.0,0.0006303845345660853
diretores,3.0,0.0006303845345660853
bases,2.0,0.0004202563563773902
preâmbulo,2.0,0.0004202563563773902
histórico,2.0,0.0004202563563773902
características,2.0,0.0004202563563773902
25,2.0,0.0004202563563773902
finalidade,2.0,0.0004202563563773902
atribuições,2.0,0.0004202563563773902
art,2.0,0.0004202563563773902
9,2.0,0.0004202563563773902
recomendação,2.0,0.0004202563563773902
188,2.0,0.0004202563563773902
espin,2.0,0.0004202563563773902
decorrência,2.0,0.0004202563563773902
humana,2.0,0.0004202563563773902
surto,2.0,0.0004202563563773902
constantes,2.0,0.0004202563563773902
trata,2.0,0.0004202563563773902
epidemiológico,2.0,0.0004202563563773902
dar,2.0,0.0004202563563773902
disponibilização,2.0,0.0004202563563773902
órgão,2.0,0.0004202563563773902
regulador,2.0,0.0004202563563773902
estado,2.0,0.0004202563563773902
referentes,2.0,0.0004202563563773902
ib,2.0,0.0004202563563773902
25351,2.0,0.0004202563563773902
cidade,2.0,0.0004202563563773902
centro,2.0,0.0004202563563773902
27,2.0,0.0004202563563773902
grupo,2.0,0.0004202563563773902
condução,2.0,0.0004202563563773902
membro,2.0,0.0004202563563773902
30,2.0,0.0004202563563773902
seguida,2.0,0.0004202563563773902
sequência,2.0,0.0004202563563773902
dispõe,2.0,0.0004202563563773902
muitas,2.0,0.0004202563563773902
várias,2.0,0.0004202563563773902
resoluções,2.0,0.0004202563563773902
impedir,2.0,0.0004202563563773902
ampliar,2.0,0.0004202563563773902
insumos,2.0,0.0004202563563773902
combate,2.0,0.0004202563563773902
infecções,2.0,0.0004202563563773902
disponibilizar,2.0,0.0004202563563773902
ter,2.0,0.0004202563563773902
8,2.0,0.0004202563563773902
desde,2.0,0.0004202563563773902
rápida,2.0,0.0004202563563773902
fabricantes,2.0,0.0004202563563773902
obter,2.0,0.0004202563563773902
pesquisadores,2.0,0.0004202563563773902
têm,2.0,0.0004202563563773902
favorecer,2.0,0.0004202563563773902
eficazes,2.0,0.0004202563563773902
comunidade,2.0,0.0004202563563773902
científica,2.0,0.0004202563563773902
coletivo,2.0,0.0004202563563773902
particularmente,2.0,0.0004202563563773902
desenvolver,2.0,0.0004202563563773902
reação,2.0,0.0004202563563773902
imunológico,2.0,0.0004202563563773902
humano,2.0,0.0004202563563773902
estímulo,2.0,0.0004202563563773902
expor,2.0,0.0004202563563773902
evidência,2.0,0.0004202563563773902
inicial,2.0,0.0004202563563773902
morte,2.0,0.0004202563563773902
conter,2.0,0.0004202563563773902
reduzir,2.0,0.0004202563563773902
sabemos,2.0,0.0004202563563773902
requer,2.0,0.0004202563563773902
todas,2.0,0.0004202563563773902
ferramentas,2.0,0.0004202563563773902
possam,2.0,0.0004202563563773902
individual,2.0,0.0004202563563773902
coletiva,2.0,0.0004202563563773902
particular,2.0,0.0004202563563773902
evidências,2.0,0.0004202563563773902
destaca,2.0,0.0004202563563773902
papel,2.0,0.0004202563563773902
essencial,2.0,0.0004202563563773902
precoce,2.0,0.0004202563563773902
trabalho,2.0,0.0004202563563773902
apenas,2.0,0.0004202563563773902
alguns,2.0,0.0004202563563773902
imunogenicidade,2.0,0.0004202563563773902
possibilitando,2.0,0.0004202563563773902
demonstração,2.0,0.0004202563563773902
estimativa,2.0,0.0004202563563773902
avaliada,2.0,0.0004202563563773902
transmissão,2.0,0.0004202563563773902
onde,2.0,0.0004202563563773902
vários,2.0,0.0004202563563773902
métodos,2.0,0.0004202563563773902
diversas,2.0,0.0004202563563773902
epidemiológicos,2.0,0.0004202563563773902
dessas,2.0,0.0004202563563773902
ensaio,2.0,0.0004202563563773902
baseia,2.0,0.0004202563563773902
anteriores,2.0,0.0004202563563773902
benefícios,2.0,0.0004202563563773902
potenciais,2.0,0.0004202563563773902
regulamento,2.0,0.0004202563563773902
realização,2.0,0.0004202563563773902
submetido,2.0,0.0004202563563773902
subsidiar,2.0,0.0004202563563773902
menos,2.0,0.0004202563563773902
controlados,2.0,0.0004202563563773902
devido,2.0,0.0004202563563773902
necessários,2.0,0.0004202563563773902
vez,2.0,0.0004202563563773902
parâmetro,2.0,0.0004202563563773902
implantação,2.0,0.0004202563563773902
efeito,2.0,0.0004202563563773902
conduzidos,2.0,0.0004202563563773902
eficaz,2.0,0.0004202563563773902
representam,2.0,0.0004202563563773902
grande,2.0,0.0004202563563773902
sistemas,2.0,0.0004202563563773902
incluindo,2.0,0.0004202563563773902
instrumentos,2.0,0.0004202563563773902
desenvolvidas,2.0,0.0004202563563773902
autorizou,2.0,0.0004202563563773902
avaliadas,2.0,0.0004202563563773902
público,2.0,0.0004202563563773902
previamente,2.0,0.0004202563563773902
definido,2.0,0.0004202563563773902
determinados,2.0,0.0004202563563773902
adicional,2.0,0.0004202563563773902
procedimento,2.0,0.0004202563563773902
internacionalmente,2.0,0.0004202563563773902
encaminhados,2.0,0.0004202563563773902
esforço,2.0,0.0004202563563773902
maior,2.0,0.0004202563563773902
ressalta,2.0,0.0004202563563773902
distribuição,2.0,0.0004202563563773902
quaisquer,2.0,0.0004202563563773902
gerados,2.0,0.0004202563563773902
controles,2.0,0.0004202563563773902
sanitários,2.0,0.0004202563563773902
mantém,2.0,0.0004202563563773902
diante,2.0,0.0004202563563773902
transparência,2.0,0.0004202563563773902
públicos,2.0,0.0004202563563773902
painel,2.0,0.0004202563563773902
dinâmico,2.0,0.0004202563563773902
análises,2.0,0.0004202563563773902
realizadas,2.0,0.0004202563563773902
modo,2.0,0.0004202563563773902
atualização,2.0,0.0004202563563773902
pedidos,2.0,0.0004202563563773902
presentes,2.0,0.0004202563563773902
pareceres,2.0,0.0004202563563773902
emitidos,2.0,0.0004202563563773902
gerais,2.0,0.0004202563563773902
regulatória,2.0,0.0004202563563773902
meses,2.0,0.0004202563563773902
envolvidos,2.0,0.0004202563563773902
poderão,2.0,0.0004202563563773902
promoção,2.0,0.0004202563563773902
harmonização,2.0,0.0004202563563773902
cooperação,2.0,0.0004202563563773902
reconhecimento,2.0,0.0004202563563773902
robustez,2.0,0.0004202563563773902
melhores,2.0,0.0004202563563773902
comunicação,2.0,0.0004202563563773902
regulatórias,2.0,0.0004202563563773902
troca,2.0,0.0004202563563773902
ocorrer,2.0,0.0004202563563773902
science,2.0,0.0004202563563773902
turquia,2.0,0.0004202563563773902
indonésia,2.0,0.0004202563563773902
imunizante,2.0,0.0004202563563773902
funcionários,2.0,0.0004202563563773902
priorizados,2.0,0.0004202563563773902
fechou,2.0,0.0004202563563773902
fornecimento,2.0,0.0004202563563773902
aprovada,2.0,0.0004202563563773902
segundo,2.0,0.0004202563563773902
concedida,2.0,0.0004202563563773902
laboratórios,2.0,0.0004202563563773902
quatro,2.0,0.0004202563563773902
chinesa,2.0,0.0004202563563773902
setor,2.0,0.0004202563563773902
forças,2.0,0.0004202563563773902
vetor,2.0,0.0004202563563773902
adenovírus,2.0,0.0004202563563773902
chimpanzé,2.0,0.0004202563563773902
chamado,2.0,0.0004202563563773902
imunogênica,2.0,0.0004202563563773902
reino,2.0,0.0004202563563773902
unido,2.0,0.0004202563563773902
feita,2.0,0.0004202563563773902
03,2.0,0.0004202563563773902
insumo,2.0,0.0004202563563773902
farmacêutico,2.0,0.0004202563563773902
ativo,2.0,0.0004202563563773902
ifa,2.0,0.0004202563563773902
siipl,2.0,0.0004202563563773902
universidade,2.0,0.0004202563563773902
70,2.0,0.0004202563563773902
nome,2.0,0.0004202563563773902
composição,2.0,0.0004202563563773902
qualitativa,2.0,0.0004202563563773902
0,2.0,0.0004202563563773902
contém,2.0,0.0004202563563773902
antígeno,2.0,0.0004202563563773902
su,2.0,0.0004202563563773902
lista,2.0,0.0004202563563773902
excipientes,2.0,0.0004202563563773902
hidróxido,2.0,0.0004202563563773902
sódio,2.0,0.0004202563563773902
água,2.0,0.0004202563563773902
injetáveis,2.0,0.0004202563563773902
suspensão,2.0,0.0004202563563773902
injetável,2.0,0.0004202563563773902
indivíduos,2.0,0.0004202563563773902
produzido,2.0,0.0004202563563773902
totalmente,2.0,0.0004202563563773902
sus,2.0,0.0004202563563773902
l,2.0,0.0004202563563773902
histidine,2.0,0.0004202563563773902
chloride,2.0,0.0004202563563773902
80,2.0,0.0004202563563773902
idade,2.0,0.0004202563563773902
produzir,2.0,0.0004202563563773902
certificação,2.0,0.0004202563563773902
qualificados,2.0,0.0004202563563773902
legislação,2.0,0.0004202563563773902
toda,2.0,0.0004202563563773902
representa,2.0,0.0004202563563773902
lotes,2.0,0.0004202563563773902
daxing,2.0,0.0004202563563773902
04,2.0,0.0004202563563773902
inspetores,2.0,0.0004202563563773902
emitiram,2.0,0.0004202563563773902
sugerem,2.0,0.0004202563563773902
justificar,2.0,0.0004202563563773902
pandêmico,2.0,0.0004202563563773902
calamidade,2.0,0.0004202563563773902
período,2.0,0.0004202563563773902
dtp,2.0,0.0004202563563773902
apesar,2.0,0.0004202563563773902
prédio,2.0,0.0004202563563773902
pertussis,2.0,0.0004202563563773902
abril,2.0,0.0004202563563773902
validação,2.0,0.0004202563563773902
demonstram,2.0,0.0004202563563773902
interina,2.0,0.0004202563563773902
atendem,2.0,0.0004202563563773902
alvo,2.0,0.0004202563563773902
possibilidade,2.0,0.0004202563563773902
indução,2.0,0.0004202563563773902
respiratória,2.0,0.0004202563563773902
agravada,2.0,0.0004202563563773902
relacionada,2.0,0.0004202563563773902
intervalos,2.0,0.0004202563563773902
demonstrados,2.0,0.0004202563563773902
aceitáveis,2.0,0.0004202563563773902
proposta,2.0,0.0004202563563773902
gpbio,2.0,0.0004202563563773902
descrevendo,2.0,0.0004202563563773902
vista,2.0,0.0004202563563773902
ausência,2.0,0.0004202563563773902
recomenda,2.0,0.0004202563563773902
referida,2.0,0.0004202563563773902
descritas,2.0,0.0004202563563773902
supracitados,2.0,0.0004202563563773902
reavaliação,2.0,0.0004202563563773902
periódica,2.0,0.0004202563563773902
novos,2.0,0.0004202563563773902
surjam,2.0,0.0004202563563773902
sii,2.0,0.0004202563563773902
maioria,2.0,0.0004202563563773902
ncov19,2.0,0.0004202563563773902
84,2.0,0.0004202563563773902
adicionalmente,2.0,0.0004202563563773902
contribuindo,2.0,0.0004202563563773902
monitorização,2.0,0.0004202563563773902
causalidade,2.0,0.0004202563563773902
pós,2.0,0.0004202563563773902
apoiar,2.0,0.0004202563563773902
tomada,2.0,0.0004202563563773902
investigação,2.0,0.0004202563563773902
minimização,2.0,0.0004202563563773902
pni,2.0,0.0004202563563773902
epidemiológica,2.0,0.0004202563563773902
elaborado,2.0,0.0004202563563773902
refere,2.0,0.0004202563563773902
decorre,2.0,0.0004202563563773902
02,2.0,0.0004202563563773902
concluiu,2.0,0.0004202563563773902
conformidade,2.0,0.0004202563563773902
406,2.0,0.0004202563563773902
parecem,2.0,0.0004202563563773902
compatíveis,2.0,0.0004202563563773902
quarta,2.0,0.0004202563563773902
quinta,2.0,0.0004202563563773902
considerações,2.0,0.0004202563563773902
aqui,2.0,0.0004202563563773902
desenvolveram,2.0,0.0004202563563773902
semanas,2.0,0.0004202563563773902
sumário,1.0,0.0002101281781886951
institucional,1.0,0.0002101281781886951
promover,1.0,0.0002101281781886951
legais,1.0,0.0002101281781886951
6º,1.0,0.0002101281781886951
incisos,1.0,0.0002101281781886951
vii,1.0,0.0002101281781886951
ix,1.0,0.0002101281781886951
7º,1.0,0.0002101281781886951
º,1.0,0.0002101281781886951
782,1.0,0.0002101281781886951
1999,1.0,0.0002101281781886951
suspeitos,1.0,0.0002101281781886951
covid19,1.0,0.0002101281781886951
constante,1.0,0.0002101281781886951
aperfeiçoamento,1.0,0.0002101281781886951
função,1.0,0.0002101281781886951
celeridade,1.0,0.0002101281781886951
auxiliar,1.0,0.0002101281781886951
tratamento,1.0,0.0002101281781886951
individuais,1.0,0.0002101281781886951
coletivos,1.0,0.0002101281781886951
expressa,1.0,0.0002101281781886951
submetidos,1.0,0.0002101281781886951
seguintes,1.0,0.0002101281781886951
900460,1.0,0.0002101281781886951
covishiled,1.0,0.0002101281781886951
900503,1.0,0.0002101281781886951
61,1.0,0.0002101281781886951
informada,1.0,0.0002101281781886951
conjunto,1.0,0.0002101281781886951
pneumonia,1.0,0.0002101281781886951
causa,1.0,0.0002101281781886951
desconhecida,1.0,0.0002101281781886951
detectados,1.0,0.0002101281781886951
wuhan,1.0,0.0002101281781886951
província,1.0,0.0002101281781886951
hubei,1.0,0.0002101281781886951
identificado,1.0,0.0002101281781886951
entrou,1.0,0.0002101281781886951
funcionamento,1.0,0.0002101281781886951
operações,1.0,0.0002101281781886951
coordenado,1.0,0.0002101281781886951
integrante,1.0,0.0002101281781886951
instituiu,1.0,0.0002101281781886951
74,1.0,0.0002101281781886951
diz,1.0,0.0002101281781886951
respeito,1.0,0.0002101281781886951
participa,1.0,0.0002101281781886951
executivo,1.0,0.0002101281781886951
interministerial,1.0,0.0002101281781886951
gei,1.0,0.0002101281781886951
decreto,1.0,0.0002101281781886951
211,1.0,0.0002101281781886951
publicou,1.0,0.0002101281781886951
979,1.0,0.0002101281781886951
discutidas,1.0,0.0002101281781886951
resultando,1.0,0.0002101281781886951
procedimentos,1.0,0.0002101281781886951
extraordinários,1.0,0.0002101281781886951
desabastecimento,1.0,0.0002101281781886951
utilizados,1.0,0.0002101281781886951
denominado,1.0,0.0002101281781886951
espectro,1.0,0.0002101281781886951
variando,1.0,0.0002101281781886951
assintomáticas,1.0,0.0002101281781886951
quadros,1.0,0.0002101281781886951
revelou,1.0,0.0002101281781886951
hábil,1.0,0.0002101281781886951
reconhecendo,1.0,0.0002101281781886951
governantes,1.0,0.0002101281781886951
dispostos,1.0,0.0002101281781886951
